Order ID,Order Date,City,Product,Qty,Amount,Channel,Status
KC-10400,2026-01-16,Delhi,Masala Chai 250g,2,698,Instagram,Delivered
KC-10401,2026-01-11,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10402,2026-03-20,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10403,2026-01-25,Delhi,Masala Chai 250g,1,349,Amazon,Delivered
KC-10404,2026-01-30,Delhi,Masala Chai 250g,3,"₹1,047",Amazon,Delivered
KC-10405,2026-04-27,Pune,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10406,2026-02-24,Delhi,Kulhad Gift Box,4,5196,Amazon,Delivered
KC-10407,2026-02-16,Mumbai,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10408,2026-04-21,Delhi,Masala Chai 250g,1,349,Instagram,Delivered
KC-10409,2026-04-20,Delhi,Masala Chai 250g,2,698,Instagram,Delivered
KC-10410,2026-02-26,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10411,2026-03-04,Delhi,Kulhad Gift Box,2,"₹2,598",Instagram,Delivered
KC-10412,2026-02-07,Delhi,Kulhad Gift Box,1,1299,Website,Delivered
KC-10413,2026-02-25,Delhi,Kulhad Gift Box,2,"₹2,598",Amazon,Returned
KC-10414,2026-04-26,Delhi,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10415,2026-03-30,Delhi,Masala Chai 250g,3,"₹1,047",Amazon,Delivered
KC-10416,2026-03-21,Delhi,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10417,2026-02-23,Pune,Masala Chai 250g,2,₹698,Website,Delivered
KC-10418,2026-04-05,Pune,Masala Chai 250g,1,349,Website,Delivered
KC-10419,2026-02-16,Delhi,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10420,2026-04-28,Delhi,Masala Chai 250g,3,1047,Instagram,Delivered
KC-10421,2026-02-14,Delhi,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10422,2026-02-07,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10423,2026-02-18,Delhi,Kulhad Gift Box,3,3897,Amazon,Delivered
KC-10424,2026-01-18,Delhi,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10425,2026-04-21,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10426,2026-04-02,Delhi,Elaichi Chai 250g,2,798,Amazon,Delivered
KC-10427,2026-02-21,Delhi,Masala Chai 250g,3,"₹1,047",Amazon,Delivered
KC-10428,2026-04-16,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10429,2026-03-03,Mumbai,Elaichi Chai 250g,3,"₹1,197",Amazon,Delivered
KC-10430,2026-01-28,Mumbai,Elaichi Chai 250g,2,798,Website,Delivered
KC-10431,2026-03-13,Pune,Kulhad Gift Box,1,1299,Instagram,Returned
KC-10432,2026-02-14,Pune,Masala Chai 250g,3,"₹1,047",Website,Delivered
KC-10433,2026-01-06,Mumbai,Elaichi Chai 250g,3,"₹1,197",Website,Delivered
KC-10434,2026-03-30,Mumbai,Masala Chai 250g,1,₹349,Website,Delivered
KC-10435,2026-02-18,Mumbai,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10436,2026-01-26,Mumbai,Kulhad Gift Box,3,3897,Website,Delivered
KC-10437,2026-02-13,Mumbai,Kulhad Gift Box,2,2598,Website,Returned
KC-10438,2026-01-08,Bengaluru,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10439,2026-04-23,Mumbai,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10440,2026-02-02,Mumbai,Masala Chai 250g,2,698,Instagram,Delivered
KC-10441,2026-02-23,Delhi,Masala Chai 250g,2,₹698,Instagram,Delivered
KC-10442,2026-01-30,Delhi,Elaichi Chai 250g,1,399,Website,Delivered
KC-10443,2026-03-16,Mumbai,Masala Chai 250g,3,"₹1,047",Instagram,Delivered
KC-10444,2026-04-24,Mumbai,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10445,2026-04-03,Delhi,Masala Chai 250g,4,"₹1,396",Instagram,Delivered
KC-10446,2026-03-26,Bengaluru,Masala Chai 250g,2,698,Instagram,Delivered
KC-10447,2026-04-20,Mumbai,Masala Chai 250g,1,₹349,Website,Delivered
KC-10448,2026-01-24,Mumbai,Kulhad Gift Box,1,"₹1,299",Instagram,Delivered
KC-10449,2026-01-21,Mumbai,Masala Chai 250g,1,₹349,Instagram,Delivered
KC-10450,2026-01-01,Mumbai,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10451,2026-01-04,Mumbai,Elaichi Chai 250g,1,399,Website,Delivered
KC-10452,2026-02-06,Mumbai,Kulhad Gift Box,1,1299,Instagram,Delivered
KC-10453,2026-03-24,Bengaluru,Kulhad Gift Box,1,"₹1,299",Amazon,Delivered
KC-10454,2026-02-09,Mumbai,Kulhad Gift Box,1,"₹1,299",Website,Returned
KC-10455,2026-02-21,Delhi,Masala Chai 250g,1,₹349,Amazon,Returned
KC-10456,2026-01-10,Bengaluru,Elaichi Chai 250g,1,₹399,Instagram,Delivered
KC-10457,2026-04-17,Pune,Elaichi Chai 250g,1,399,Website,Delivered
KC-10458,2026-02-10,Mumbai,Masala Chai 250g,3,"₹1,047",Amazon,Delivered
