Order ID,Order Date,City,Product,Qty,Amount,Channel,Status
KC-10400,2026-03-06,Delhi,Elaichi Chai 250g,1,₹399,Amazon,Delivered
KC-10401,2026-01-09,Delhi,Elaichi Chai 250g,2,798,Amazon,Delivered
KC-10402,2026-04-19,Delhi,Masala Chai 250g,2,₹698,Amazon,Delivered
KC-10403,2026-03-22,Pune,Elaichi Chai 250g,2,798,Instagram,Delivered
KC-10404,2026-02-01,Mumbai,Kulhad Gift Box,2,2598,Website,Delivered
KC-10405,2026-01-20,Mumbai,Masala Chai 250g,2,₹698,Amazon,Returned
KC-10406,2026-02-12,Delhi,Elaichi Chai 250g,2,₹798,Amazon,Delivered
KC-10407,2026-02-20,Delhi,Masala Chai 250g,1,₹349,Website,Delivered
KC-10408,2026-03-07,Delhi,Elaichi Chai 250g,1,399,Amazon,Delivered
KC-10409,2026-04-05,Delhi,Elaichi Chai 250g,2,798,Website,Delivered
KC-10410,2026-02-05,Delhi,Elaichi Chai 250g,1,₹399,Instagram,Returned
KC-10411,2026-04-01,Delhi,Masala Chai 250g,1,₹349,Website,Returned
KC-10412,2026-04-09,Pune,Masala Chai 250g,4,1396,Website,Delivered
KC-10413,2026-01-22,Delhi,Kulhad Gift Box,1,1299,Website,Delivered
KC-10414,2026-01-17,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10415,2026-03-17,Delhi,Elaichi Chai 250g,1,₹399,Website,Delivered
KC-10416,2026-02-24,Delhi,Masala Chai 250g,1,₹349,Amazon,Delivered
KC-10417,2026-04-18,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10418,2026-04-06,Delhi,Elaichi Chai 250g,3,"₹1,197",Instagram,Delivered
KC-10419,2026-04-09,Delhi,Kulhad Gift Box,1,"₹1,299",Website,Delivered
KC-10420,2026-03-14,Delhi,Elaichi Chai 250g,2,₹798,Website,Delivered
KC-10421,2026-04-28,Mumbai,Kulhad Gift Box,2,"₹2,598",Website,Delivered
KC-10422,2026-04-15,Pune,Elaichi Chai 250g,1,399,Amazon,Delivered
